Col1|Col2|Col3|Col4|Col5|Col6|Col7|Col8|Col9|Col10|Col11|Col12|Col13|Col14|Col15|Col16|Col17|Col18|Col19|Col20|Col21|Col22|Col23|Col24|Col25|Col26|Col27|Col28|Col29|Col30|Col31|Col32|Col33|Col34|Col35|Col36|Col37|Col38|Col39|Col40|Col41|Col42|Col43|Col44|Col45|Col46|Col47|Col48|Col49|Col50|Col51|Col52|Col53|Col54|Col55|Col56|Col57|Col58|Col59|Col60|Col61|Col62|Col63|Col64|Col65|Col66|Col67|Col68|Col69|Col70|Col71|Col72|Col73|Col74|Col75|Col76|Col77|Col78|Col79|Col80|Col81|Col82|Col83|Col84|Col85|Col86|Col87|Col88|Col89|Col90|Col91|Col92|Col93|Col94|Col95|Col96|Col97|Col98|Col99|Col100|Col101|Col102|Col103|Col104|Col105|Col106|Col107|Col108|Col109|Col110|Col111|Col112|Col113|Col114|Col115|Col116|Col117|Col118|Col119|Col120|Col121|Col122|Col123|Col124|Col125|Col126|Col127|Col128|Col129|Col130|Col131|Col132|Col133|Col134|Col135|Col136|Col137|Col138|Col139|Col140|Col141|Col142|Col143|Col144|Col145|Col146|Col147|Col148|Col149|Col150
Name11|40|Female|Australia|New York|user11@example.com|+1-555-8716|Engineer|Globex||Marketing||2002-05-08||306 Main St|46491|Germany|Note 11|18.21|9|3|Project 78|Beta|9703|Name11|25|Male|Canada|New York|user11@example.com|+1-555-2159|Manager|Initech|70836|Engineering|Alice|2001-02-07|Inactive|416 Main St|96864|Australia|Note 11|95.97|8|24|Project 96|Gamma|5176|Name11|26|Female|Germany|Toronto|user11@example.com|+1-555-6149|Analyst|Globex|42980||Bob|2001-01-15||438 Main St|51317|USA|Note 11|68.32|9|18|Project 70|Beta|2981|Name11|60|Other|Australia|New York|user11@example.com|+1-555-7925|Analyst|Umbrella|58786|Engineering|Alice|2010-01-29|Inactive|771 Main St|30669|USA|Note 11|75.79|2|31|Project 2||5150|Name11|52|Female|Germany|Toronto|user11@example.com|+1-555-5149|Manager|Initech||Sales|Alice|2004-09-15|Active|135 Main St|87951|UK|Note 11|44.15|1|23|Project 10||6920|Name11|28|Male||Toronto|user11@example.com|+1-555-5857|Engineer|Acme Corp|63846|Engineering|Diana|2001-06-13|On Leave|610 Main St|32064|Australia|Note 11|34.68|2|34|Project 3|Delta|6466|Name11|55|Other|Canada|London|user11@example.com
Name12|21|Female|UK|London|user12@example.com|+1-555-9393|Analyst|Globex|46852|HR|Diana|2010-07-04|||36418|Canada||16.77|||Project 28|Beta||Name12||Other|USA|Sydney|user12@example.com|+1-555-4213|Clerk|Umbrella|47730|Sales|Bob|2000-03-11||417 Main St|95138|USA|Note 12|53.9|8|20|Project 33|Gamma|5081|Name12|39|Female|USA|Sydney|user12@example.com|+1-555-8383|Analyst|Globex|71941|Sales||2007-06-23|Inactive|868 Main St|43003|UK|Note 12|7.89|4||Project 100|Delta|2998|Name12||Female||London|user12@example.com||Analyst|Umbrella|35351|Marketing|Charlie|2013-08-19|Active|772 Main St|19084|UK|Note 12|49.23|4|40|Project 63|Gamma||Name12|44|Other|Germany|New York|user12@example.com|+1-555-9174|Manager|Acme Corp|69654|Sales|Diana|2008-11-27|Active|758 Main St|98900|UK|Note 12|73.26|6|21|Project 20||3405|Name12|48|Other|Germany|Berlin|user12@example.com|+1-555-9674|Analyst|Acme Corp|114627||Charlie|2001-02-27|Inactive|641 Main St|14903|Australia|Note 12|93.45||31|Project 67|Alpha|5310|Name12|46|Other|UK|Berlin|user12@example.com
Name13|22|Female|USA|Toronto|user13@example.com|+1-555-2889|Analyst|Initech|52512|Marketing|Bob|2001-09-04|Inactive|270 Main St|16051||Note 13|48.8|2|32|Project 62|Delta|4765|Name13|27|Other|USA|Berlin|user13@example.com|+1-555-2259|Manager|Initech|108055|Engineering|Bob|2010-12-06|Inactive|||USA|Note 13|83.92|9|3||||Name13|37|Male|Canada|New York|user13@example.com|+1-555-3129|Manager|Globex|45812|Engineering|Diana|2007-10-27|On Leave|468 Main St|77522|Canada|Note 13|29.01|2||Project 21|Delta|1572|Name13|53|Female|Germany|Sydney||+1-555-9092|Analyst|Acme Corp|40757|HR|Bob|2008-02-05|Inactive|157 Main St|25538||Note 13|15.49|10|4||Delta|7105|Name13|23|Other|Canada|Berlin||+1-555-6758|Engineer|Umbrella|90809||Alice|2002-11-16|Active||69083|Germany|Note 13|82.8|4|37|Project 26|Gamma|4460|Name13|22|Other|Australia|New York|user13@example.com|+1-555-4567|Engineer|Initech|36156|Marketing|Diana|2010-03-12|Active|934 Main St|74978|UK|Note 13|51.52|10|37|Project 28|Beta|8140|Name13|46||Australia|Sydney|user13@example.com
Name14|60|Other|Australia|Toronto|user14@example.com|+1-555-5094|Clerk|Acme Corp|40192|HR|Charlie|2002-12-25|Active|378 Main St|54834|UK|Note 14|78.58|1|1|Project 92|Beta|5932|Name14|36|Male|USA|New York|user14@example.com||Manager|Initech|53611|HR||2006-02-27||288 Main St|25859|Germany|Note 14|47.23||40|Project 31|Beta|2919|Name14|32|Male|USA||user14@example.com||Manager|Globex|60724|Sales|Alice|2010-09-04||944 Main St|27648|Australia|Note 14|75.06|5|34|Project 3|Alpha|7546|Name14|60|Female|UK|Sydney||+1-555-3029|Analyst|Umbrella|117586|HR|Diana|2016-05-07||172 Main St|70158|UK|Note 14|78.55|3|27||Beta|9333|Name14|45|Female|Germany|London|user14@example.com|+1-555-3065|||52888|Engineering|Bob|2003-02-25|Inactive|831 Main St|43249|Germany|Note 14|89.78|10|20|Project 24|Beta|656||53|Male|Germany||user14@example.com|+1-555-8395|Manager|Globex|50302|HR|Alice|2015-06-25|On Leave|833 Main St|99127|UK|Note 14|87.66|4||Project 23|Delta|5601|Name14|20|Female|Australia|London|user14@example.com
Name15|41|Female||New York||+1-555-1290|Clerk|||HR|Alice|2008-03-16|Inactive|344 Main St|58500|USA|Note 15|57.64|8|3|Project 58|Gamma|7835|Name15|36|Male|Germany|London|user15@example.com|+1-555-4781|Manager|Acme Corp|82700|HR|Diana|2012-10-30|Active|512 Main St||Germany|Note 15|74.5|6||Project 90|Alpha|1378|Name15|58|Female||Berlin|user15@example.com|+1-555-3924|Engineer|Acme Corp|42258|Marketing||2016-08-18|Inactive|967 Main St|73148|USA|Note 15|48.95|4|26|Project 86|Alpha|849|Name15||Female|Australia|New York|user15@example.com||Clerk|Umbrella|54373|HR|Diana|2012-04-24|Inactive|561 Main St|16818|Australia|Note 15|65.52|6|30|Project 34|Gamma|2146|Name15|27|Male|UK|London|user15@example.com|+1-555-1349|Manager||56024|HR|Bob|2003-03-27|On Leave|555 Main St|49005|Australia|Note 15|82.33|10|17|Project 21|Beta|3945||31|Male|||user15@example.com|+1-555-1151||Umbrella|66563|Sales|Alice|2015-08-23|On Leave|833 Main St|98611|Germany|Note 15|70.23|2||Project 62|Alpha|640|Name15|46|Other|UK|Sydney|
Name16|20|Other|USA||user16@example.com|+1-555-5245|Analyst|Acme Corp|31677|Sales|Charlie|2005-05-08|Active|747 Main St|86969|USA|Note 16|11.65|10|32|Project 3|Beta|8814|||Other|USA|Toronto|user16@example.com|+1-555-1987|Manager|Globex|36837|Engineering||2000-11-26|Inactive||40119|Australia|Note 16|12.51|4|2||Delta|353|Name16|37|Male|Canada|Berlin||+1-555-1271|Manager|Initech|82506|Sales|Alice|2002-09-16|Active|699 Main St|21300|Canada|Note 16|25.18|1|40|Project 10|Delta||Name16|56|Female|UK|London|user16@example.com|+1-555-6261|Analyst|Acme Corp|85659|Sales|Bob|2019-03-09|Active|847 Main St|20192|Canada||48.64|10|4|Project 80|Delta|2425|Name16|60|Female|Canada|Sydney|user16@example.com|+1-555-4828|Manager|Globex|||Charlie||Inactive||87080|USA|Note 16|73.32|6|34|Project 47||5891|Name16|47|Female|Canada|Berlin|user16@example.com|+1-555-2340|Manager|Initech|83467|Sales|Diana||Inactive|855 Main St|63706|UK|Note 16|38.78|6|27||Beta|1048|Name16||Other|Germany|Toronto|user16@example.com
Name17|49|Other|Germany|London|user17@example.com|+1-555-3656|Engineer|Umbrella|83807|Engineering|Diana|2002-09-13|Active|671 Main St|89219|Canada|Note 17|17.44|3|34|Project 39|Beta|3758|Name17|53|Other|Australia|New York|user17@example.com||Clerk|Umbrella|42860|Engineering|Charlie|2012-06-13|Active|753 Main St|10699|Germany|Note 17|16.36|8|9|Project 48|Delta|9407|Name17|61|Male|UK|New York||+1-555-6649|Analyst|Globex|56205|Marketing|Bob|2012-09-03|Active|236 Main St|82407|UK|Note 17|84.77|9|40|Project 58|Delta|4963|Name17|44|Female|USA|London|user17@example.com|+1-555-9608||Globex|78547|Marketing|Charlie|2008-02-04|On Leave|248 Main St|15542|USA|Note 17|34.26||23|Project 41||4196|Name17|20|Male|Australia|Berlin||+1-555-2177|Clerk|Umbrella||Engineering|Alice|2017-10-14|Inactive|930 Main St|90466|USA|Note 17|37.46||19|Project 100|Gamma|8148|Name17|21|Male|Canada|Toronto|user17@example.com|+1-555-3574||Umbrella|113173|Engineering|Diana|2018-01-29|On Leave|706 Main St||Germany|Note 17|92.51|10|40|Project 99|Beta|1848|Name17|29|Other|Germany|Toronto|user17@example.com
Name18|51|Female||Berlin|user18@example.com|+1-555-3107|Clerk|Acme Corp|70130|HR|Charlie|2014-08-22|Active|649 Main St|45852|Germany|Note 18|43.43|6|37|Project 24|Alpha|6543|Name18|61|Male|Canada|Sydney|user18@example.com|+1-555-7392|Engineer|Globex|91021|Sales|Bob|2006-07-21|Active|826 Main St|72036|Canada|Note 18|21.12|8|36|Project 87|Delta|5411|Name18|28|Female|Australia|New York|user18@example.com|+1-555-3735||Acme Corp|42931|Engineering|Charlie|2006-11-10|Active|576 Main St|49555|Canada|Note 18|47.59|7|14|Project 99|Delta|7661|Name18|41|Male|UK|Toronto|user18@example.com||Engineer|Umbrella|49428|HR|Bob|2013-08-30|On Leave||13537|Germany|Note 18|40.01|6|23|Project 74||7116|Name18|39|Female|Germany|Berlin|user18@example.com|+1-555-7309|Manager|Initech|119405|Sales|Bob|2007-05-24|On Leave|625 Main St|72155|Australia|Note 18|59.66|4|7|Project 25|Alpha|4049|Name18|23|Female|USA||user18@example.com|+1-555-9357|Engineer|Umbrella|115386||Diana|2013-03-17||662 Main St|25705|Australia|Note 18|10.47|9|37|Project 93|Delta|8857|Name18|44|Other|Canada||user18@example.com
Name19|22|Other|Germany|Sydney|user19@example.com|+1-555-4889|Manager|Umbrella|112121|Sales|Charlie|2000-04-02|Active|763 Main St||UK|Note 19||3||Project 45|Gamma|1502|Name19|35|Female|Canada|New York|user19@example.com|+1-555-4253|Manager|Acme Corp|96429|Marketing|Bob|2002-10-08||558 Main St|43625||Note 19||5|38|Project 61|Alpha|8878||59|Female|Canada|Toronto|user19@example.com|+1-555-8556|Clerk||55767|HR|Diana|2013-04-23|Active|243 Main St|55641||Note 19|45.24|1|17||Alpha|7644|Name19|62|Female|UK|New York|user19@example.com|+1-555-5084|Engineer|Initech|42266|HR|Charlie|2010-04-30|On Leave|164 Main St|43029|USA|Note 19|0.16|9|40|Project 100|Delta|2963|Name19|38|Male|USA|New York|user19@example.com|+1-555-1522|Engineer|Globex|54332|Marketing|Alice||Active|511 Main St|37182|Canada|Note 19||4|36|Project 92|Alpha|9064|Name19|36|Other|Germany|Berlin|user19@example.com|+1-555-3011|Manager|Globex|106108|Marketing|Diana|2004-06-01|Active|207 Main St|61436|Germany|Note 19|70.15|5|17|Project 30|Gamma|9732||37|Male|Germany|London|user19@example.com
Name20|46|Female|Germany|Berlin|user20@example.com|+1-555-7760|Engineer|Globex|113004|Sales||2017-08-21|Active|744 Main St|52000|USA|Note 20|8.77|10|22|Project 34|Alpha|6798|Name20|62|Other|||user20@example.com|+1-555-6381|Analyst|Initech|59266|Sales|Diana|2013-08-24|On Leave|842 Main St|58975|Canada|Note 20|55.99|3|18|Project 27|Gamma|522|Name20|30|Female|USA|Berlin|user20@example.com||Engineer|Umbrella|119372|Engineering|Alice|2004-03-21|Active||37948|Canada|Note 20|38.63|9|9|Project 52|Delta|||28|Other|Germany|London|user20@example.com|+1-555-9291||Globex|117851|Sales|Diana|2006-05-23|Inactive||12009|USA|Note 20|20.04|4|36|Project 29|Gamma||Name20|49|Other|Canada|Sydney|user20@example.com|+1-555-9330|Analyst||84368|Marketing|Alice|2001-12-18|Active|474 Main St|11468|Australia|Note 20|1.61|2|10|Project 20|Beta|6998|Name20|30|Other|USA|Berlin|user20@example.com|+1-555-3134||Initech|59718|Marketing|Bob|2019-01-14||479 Main St|13665||Note 20|31.01|10|24|Project 23|Beta|9328|Name20|53|Other|UK|Berlin|user20@example.com
Name21|60|Female|Australia|Berlin|user21@example.com||Clerk|Globex|97002|HR|Bob|2004-07-14|Inactive|389 Main St|68195|Australia|Note 21|37.51|1|22||Alpha||Name21|34|Female|Australia|Sydney|user21@example.com|+1-555-2981|Engineer|Initech|33859|Marketing|Charlie|2010-02-18|Active|199 Main St|89860|Germany|Note 21||4|13||Gamma|7811|Name21|48|Other|USA|London||+1-555-2007|Clerk|Initech|59145|Marketing|Charlie|2003-10-27|On Leave|645 Main St|47472|USA|Note 21|67.6|5|37|Project 53|Gamma|2769|Name21|61|Other|Australia|New York|user21@example.com|+1-555-4280|Engineer|Umbrella|33082|Sales|Bob|2005-03-21|Active|447 Main St|95763|UK|Note 21|21.73|7|26|Project 75|Gamma|3843|Name21|57|Female|USA|Berlin|user21@example.com|+1-555-2979||Acme Corp|70694|Engineering||2009-06-28|Inactive|783 Main St|85411|UK||45.05|5||Project 67|Gamma||Name21|65|Male||Toronto|user21@example.com|+1-555-3941|Engineer||67227|Sales|Charlie|2005-12-17|Inactive|210 Main St|47577|Canada|Note 21|82.71|5|8|Project 91|Alpha|9656|Name21|65|||London|user21@example.com
Name22|64|Male|Canada||user22@example.com|+1-555-9774||Umbrella|54093|Engineering|Diana|2019-03-26|Inactive|920 Main St|46857|Canada|Note 22|64.59|10|7|Project 32|Delta|1155|Name22|36|Other|Canada|New York|user22@example.com||Analyst|Initech|105687|Engineering||2009-08-19|Active|703 Main St|98938|Germany|Note 22|10.11|5|6|Project 42||1869|Name22|47|Male|UK|Sydney|user22@example.com|+1-555-5344|Clerk|Umbrella|66863|Marketing|Diana|2013-09-01|On Leave|409 Main St|51049|UK||62.34|10|32|Project 78|Delta|4963|Name22||Male|Australia|London||+1-555-3245|Engineer|Globex|61804|Sales|Bob|2020-02-05|Inactive|186 Main St|97432|Germany|Note 22|70.98|3|17|Project 96||9587|Name22|24|Female|Canada||user22@example.com|+1-555-4610|Engineer|Initech|69222|Marketing|Alice|2013-03-27|Inactive||30144|Canada|Note 22|43.55|||Project 57|Delta||Name22|37|Female|UK|Sydney|user22@example.com|+1-555-6124||Umbrella|54766|Marketing||2002-11-21|On Leave|985 Main St|56473|UK|Note 22|32.31|5|40|Project 55|Alpha|5527|Name22|37|Female|Canada|New York|user22@example.com
